"yyyymm","date","pi","tb3m","rr","rstar"
200409,2004-07-01,2.44567467741375,1.48666666666667,-0.959008010747078,1.55482841142193
200412,2004-10-01,2.82829808033336,2.00666666666667,-0.821631413666691,1.56163703623382
200503,2005-01-01,2.58501562201516,2.53666666666667,-0.0483489553484966,1.66765483212353
200506,2005-04-01,2.54720284896326,2.86333333333333,0.316130484370074,1.69181590053518
200509,2005-07-01,3.05738678247005,3.36,0.302613217529949,1.66701422472905
200512,2005-10-01,3.04840272769313,3.82666666666667,0.778263938973533,1.73925648965954
200603,2006-01-01,2.99246162942683,4.39333333333333,1.4008717039065,1.8157683464294
200606,2006-04-01,3.09635772436572,4.70333333333333,1.60697560896762,1.85965097476293
200609,2006-07-01,2.71757010200453,4.90666666666667,2.18909656466214,1.90743393801882
200612,2006-10-01,1.76796161646386,4.90333333333333,3.13537171686947,2.05535973580653
200703,2007-01-01,2.23423557849269,4.98333333333333,2.74909775484064,1.99793825641367
200706,2007-04-01,2.25834758278136,4.73666666666667,2.4783190838853,1.97933355212394
200709,2007-07-01,2.11176126269663,4.30333333333333,2.1915720706367,1.95284822359402
200712,2007-10-01,3.28083607292804,3.39,0.109163927071961,1.64564979415196
200803,2008-01-01,3.20667525370446,2.04333333333333,-1.16334192037113,1.42776035604082
200806,2008-04-01,3.45602582209521,1.62666666666667,-1.82935915542854,1.30985254282045
200809,2008-07-01,3.90340307979038,1.49333333333333,-2.41006974645705,1.18032027587491
200812,2008-10-01,1.46165899836719,0.296666666666667,-1.16499233170052,1.32666986357536
200903,2009-01-01,0.0420192790632434,0.213333333333333,0.17131405427009,1.52115941902
200906,2009-04-01,-0.550540919287013,0.173333333333333,0.723874252620346,1.56977077776599
200909,2009-07-01,-0.935555867285487,0.156666666666667,1.09222253395215,1.61751597540881
200912,2009-10-01,1.18828935525492,0.0566666666666667,-1.13162268858826,1.29942937870008
201003,2010-01-01,2.09522289068964,0.106666666666667,-1.98855622402297,1.14385947020896
201006,2010-04-01,1.76004304560626,0.146666666666667,-1.6133763789396,1.20026252942393
201009,2010-07-01,1.42842830116328,0.156666666666667,-1.27176163449661,1.2093449263027
201012,2010-10-01,1.2790482873311,0.136666666666667,-1.14238162066443,1.2252867021554
201103,2011-01-01,1.68462274047707,0.126666666666667,-1.5579560738104,1.10909139284188
201106,2011-04-01,2.57770401675037,0.0466666666666667,-2.5310373500837,0.945937804846715
201109,2011-07-01,2.81045006893894,0.0233333333333333,-2.78711673560561,0.842783468563094
201112,2011-10-01,2.6247567237772,0.0133333333333333,-2.61142339044387,0.874339954767777
201203,2012-01-01,2.45562893925655,0.0666666666666667,-2.38896227258988,0.862291579481434
201206,2012-04-01,1.75429167007968,0.0866666666666667,-1.66762500341301,0.941604316642737
201209,2012-07-01,1.55233567542918,0.103333333333333,-1.44900234209585,0.956979023813717
201212,2012-10-01,1.74541642947768,0.0866666666666667,-1.65874976281101,0.869946993887736
201303,2013-01-01,1.52421625906864,0.0866666666666667,-1.43754959240198,0.878039397099232
201306,2013-04-01,1.26193521288807,0.05,-1.21193521288807,0.897066375917785
201309,2013-07-01,1.30338566525197,0.0333333333333333,-1.27005233191863,0.86854814885994
201312,2013-10-01,1.19595828274184,0.0633333333333333,-1.1326249494085,0.895037280926116
201403,2014-01-01,1.36153599623112,0.0466666666666667,-1.31486932956446,0.829717165653306
201406,2014-04-01,1.76218592679378,0.0333333333333333,-1.72885259346045,0.735105521988553
201409,2014-07-01,1.68666339023718,0.0266666666666667,-1.65999672357051,0.76047204537975
201412,2014-10-01,1.19127125347491,0.0233333333333333,-1.16793792014158,0.793409597266562
201503,2015-01-01,0.269301220810636,0.0266666666666667,-0.242634554143969,0.907120189918221
201506,2015-04-01,0.250443592757232,0.02,-0.230443592757232,0.882505435201039
201509,2015-07-01,0.279175185730907,0.04,-0.239175185730907,0.872090813634339
201512,2015-10-01,0.385660494977724,0.123333333333333,-0.262327161644391,0.852710772249477
201603,2016-01-01,0.948855772100732,0.286666666666667,-0.662189105434065,0.824590056947546
201606,2016-04-01,1.04169029301664,0.256666666666667,-0.785023626349973,0.748868225616624
201609,2016-07-01,1.15281142878052,0.296666666666667,-0.856144762113854,0.723823852524172
201612,2016-10-01,1.60414419572001,0.43,-1.17414419572001,0.654883594970723
201703,2017-01-01,1.99181440483764,0.59,-1.40181440483764,0.631508775654896
201706,2017-04-01,1.54202245896959,0.89,-0.652022458969594,0.735647267249443
201709,2017-07-01,1.48781273610803,1.03666666666667,-0.451146069441363,0.742467648466726
201712,2017-10-01,1.66758169033434,1.20666666666667,-0.460915023667674,0.733688188090843
201803,2018-01-01,1.74000408153985,1.56,-0.180004081539848,0.745838276400924
