"yyyymm","date","pi","tb3m","pistar.ptr","rstar","rstar.lb","rstar.ub","earr","eprr","pistar","pistar.lb","pistar.ub","pihat"
197409,1974-07-01,10.6650142217196,8.19,5.0722,1.322358696081,0.751254599329034,1.95597055129689,-1.03857666196104,-2.47501422171964,4.33126351996328,3.85778735260025,4.73779744448067,10.2631621921859
197412,1974-10-01,10.0538564108387,7.36,5.0722,1.37064269673847,0.738485120605912,2.04573125633601,-1.4048121897645,-2.69385641083869,4.50673297284522,4.03652534214628,4.90295384189777,9.82338614140287
197503,1975-01-01,7.48134796565552,5.75,5.0722,1.32177212463954,0.637416587025547,2.04402096645891,-0.985644613276594,-1.73134796565552,4.63115535511109,4.15744044825589,5.02690252039572,7.57598851159223
197506,1975-04-01,4.8961422548409,5.39333333333333,5.095066667,1.27240919254018,0.621709915663811,2.00341169476468,0.405480233415386,0.497191078492437,4.74410089536639,4.28426183134509,5.12858025774637,5.25236339479443
197509,1975-07-01,7.42546039277414,6.33,5.1408,1.24253932810842,0.549605882604182,2.01682490134666,-0.00434858532065913,-1.09546039277414,4.87032240299922,4.44335976208519,5.23837585433704,7.00887104665699
197512,1975-10-01,6.6519445583257,5.62666666666667,5.1408,1.194991172307,0.477789618703742,2.00129179754864,-0.164287678816473,-1.02527789165903,4.93899549389407,4.5316488068727,5.28929959689902,6.42627518534635
197603,1976-01-01,4.39515673530497,4.91666666666667,4.878833333,1.12958268781334,0.424006514482661,1.87327281825085,0.416869749608667,0.521509931361694,4.89142288979844,4.51167086392663,5.23694301345319,4.58484603248683
197606,1976-04-01,3.32277970075872,5.15666666666667,4.402866667,1.1463932651774,0.496974053995376,1.89327527362877,1.20489562619017,1.83388696590795,4.74142809842125,4.38101483441776,5.086411324327,3.66230530172002
197609,1976-07-01,6.01339379751735,5.15,4.4988,1.0273565578983,0.352960377554471,1.78151775746667,0.379567586298818,-0.863393797517352,4.67260390853671,4.31801571474278,5.02566230317206,5.38925921732179
197612,1976-10-01,6.26290571483921,4.67333333333333,4.4988,0.927774972965077,0.253267379945433,1.70757869757796,-0.168820180442138,-1.58957238150587,4.60070286662525,4.25006955277236,4.94436164539246,5.66514273244458
197703,1977-01-01,7.10079014089757,4.63,4.4988,0.829481771452203,0.0972623012671932,1.72371990918996,-0.707634052084067,-2.47079014089757,4.55927056610884,4.20795012338011,4.90205529505309,6.36419464542507
197706,1977-04-01,6.78793576561247,4.84,4.616,0.831818169600077,0.0294108682075544,1.71026814263606,-0.803012229927658,-1.94793576561247,4.562918611791,4.21845753020596,4.90302793604092,6.40553977510298
197709,1977-07-01,5.9962816196439,5.49666666666667,4.8504,0.870603048242995,0.0550228688932721,1.74316605542288,-0.226964437599107,-0.499614952977228,4.64477953495727,4.3008533538522,4.98452826841556,5.98347228335531
197712,1977-10-01,5.69358020817443,6.11,4.8504,0.848877875722497,0.0575445181531607,1.73492333701388,0.322072555908747,0.416419791825569,4.71930788157676,4.37741552994793,5.05492106754558,5.80966293868131
197803,1978-01-01,6.60062205093528,6.39333333333333,5.038633333,0.873798831798354,0.109246148800037,1.78236321856888,0.206322076707418,-0.207288717601945,4.81925000897964,4.48238624661128,5.15008688657335,6.45798363756706
197806,1978-04-01,8.1631686186256,6.47666666666667,5.4151,0.803199268841968,0.0210193472516881,1.75078347074764,-0.486291183916399,-1.68650195195894,5.00497849185063,4.66166907968143,5.34484724758603,7.65093252933548
197809,1978-07-01,6.97964065413945,7.31333333333333,5.4151,0.885197698546329,0.0771603325087097,1.8027951698378,0.272566225210481,0.333692679193882,5.14185055796262,4.79770482116582,5.47486406352908,7.13021616733849
197812,1978-10-01,7.48617784671168,8.57,5.659166667,1.01680514729694,0.193275735831502,1.90288913871568,0.894005475742395,1.08382215328832,5.33494658987521,4.98067292829138,5.67277511013782,7.62143741089485
197903,1979-01-01,7.42891830671635,9.38333333333333,6.1473,1.13503646811948,0.339764604268941,2.0457403353503,1.54697139935546,1.95441502661699,5.61374882768945,5.23820625234554,5.96050237673519,7.67958453804367
197906,1979-04-01,10.7567424028622,9.37666666666667,6.1473,1.04249353044582,0.245595132945246,1.91304436514774,0.0343747733947792,-1.38007573619548,5.81126605538661,5.43474456812891,6.15965969804663,10.1292980849387
197909,1979-07-01,9.76947468952858,9.67333333333333,6.7167,1.0841293192243,0.317146540665184,1.92583539794868,0.240465319323347,-0.0961413561952451,6.11811549194263,5.72980108778507,6.47662431294888,9.79008558533856
